,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,likecount
81,63,40349928,2022-10-12 14:21:20+00:00,['1580201958593335296'],1580201958593335296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@ParadoxicalTy We hate disappointing you! Have you already spoken with the drive-in about this? We’re also happy to put you in contact with our customer care team if you’ll send us a DM. https://t.co/nIi0t6yXAP,1
82,64,40349928,2022-10-12 14:18:42+00:00,['1580201298548645889'],1580201298548645889,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Burkster15 Cayden, we’re so sorry to hear this! If you have any issues getting in contact with the store directly or speaking with a manager on duty, feel free to send us a DM and we’ll get you connected with our customer care team. https://t.co/nIi0t6hUyP",0
83,65,40349928,2022-10-12 14:17:11+00:00,['1580200913536356352'],1580200913536356352,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@FatherActivist Oh no, we hate to disappoint you like this! We do encourage you to contact the drive-in directly and ask to speak with the manager on duty. We’re also happy to put you in contact with our customer care team if you’ll send us a DM. https://t.co/nIi0t6yXAP",0
84,66,40349928,2022-10-12 14:15:02+00:00,['1580200374480560128'],1580200374480560128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@OGBeeFarmr Thanks for being such a dedicated fan! We'll pass your recommendation along to our real estate team.,0
85,67,40349928,2022-10-12 14:13:52+00:00,['1580200078932705282'],1580200078932705282,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@ThatOtherAlcala That's frustrating, we're sorry this happened. Send us a DM? https://t.co/nIi0t6yXAP",0
86,68,40349928,2022-10-12 00:58:09+00:00,['1579999833645006848'],1579999833645006848,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@DesignJives This isn't what we like to hear! Send us a DM so we can get you connected with our customer care team? https://t.co/nIi0t6hmJh,0
87,69,40349928,2022-10-12 00:33:33+00:00,['1579993638855213058'],1579993638855213058,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@dallan_thomas Oh no! We encourage you to contact the drive-in you visited directly about this. Thanks!,0
88,70,40349928,2022-10-12 00:32:45+00:00,['1579993438166155264'],1579993438166155264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@m_denen Mike, we do encourage you to contact the drive-in directly and ask to speak with the manager on duty. We’re also happy to put you in contact with our customer care team if you’ll send us a DM. https://t.co/nIi0t6hmJh",0
89,71,40349928,2022-10-12 00:26:41+00:00,['1579991912404189184'],1579991912404189184,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@Not_urcupoftee Hi! You're always welcome to contact the drive-in directly and share your feedback with the manager on duty. We apologize for any frustration!,0
90,72,40349928,2022-10-12 00:26:10+00:00,['1579991781088821248'],1579991781088821248,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@ceek77 Hi! Which location was this?,0
91,73,40349928,2022-10-12 00:22:46+00:00,['1579990928940584961'],1579990928940584961,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@ProsecutorsPod This isn't what we like to hear. Send us a DM with some details about your experience? https://t.co/nIi0t6hmJh,2
92,74,40349928,2022-10-11 23:59:43+00:00,['1579985127475748864'],1579985127475748864,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@tropicanaHammer Hi! You're always welcome to contact the drive-in directly and share your feedback. We’re also happy to connect you with our customer care team if you’ll send us a DM. https://t.co/nIi0t6hmJh,0
93,75,40349928,2022-10-11 23:58:21+00:00,['1579984783337136128'],1579984783337136128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@yanceyyparsonn If you're having issues with a specific SONIC location we'd be happy to help! Feel free to send us a DM or contact the drive-in directly and share your feedback. https://t.co/nIi0t6yXAP,0
94,76,40349928,2022-10-11 23:56:00+00:00,['1579984190027988992'],1579984190027988992,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@BlueXAndAaron Hi! You're always welcome to contact the drive-in you visited directly and share your feedback. Sorry to hear we disappointed you!,0
95,77,40349928,2022-10-11 23:55:35+00:00,['1579984087585984512'],1579984087585984512,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@taylormvccm That's a long time to wait and we apologize, Morgan. Will you send us a DM? https://t.co/nIi0t6yXAP",0
96,78,40349928,2022-10-11 21:48:47+00:00,['1579952177216630784'],1579952177216630784,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",@Hot_Wheels Just trying to keep you on your toes!,2
97,79,40349928,2022-10-11 19:08:49+00:00,['1579911918810058752'],1579911918810058752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Flyerboy33 Hi Braden! We'll let our product development team know there's interest in bringing it back!,0
98,80,40349928,2022-10-11 17:18:55+00:00,['1579884261133676550'],1579884261133676550,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@imshmannz We'll let our product development team know there's interest in bringing it back!,0
99,81,40349928,2022-10-11 14:58:19+00:00,['1579848878601670661'],1579848878601670661,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@The_TyeBox We apologize for any frustration. Our app team would love to look into this. Will you submit a ticket via the Support section in the SONIC app? Thanks!,0
100,82,40349928,2022-10-11 01:59:51+00:00,['1579652969930190849'],1579652969930190849,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@calebgwebb That's frustrating, we're sorry this happened. Send us a DM? https://t.co/nIi0t6yXAP",0
101,83,40349928,2022-10-11 00:54:51+00:00,['1579636611385810944'],1579636611385810944,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@shxyk47 We hate disappointing you like this! Send us a DM so we can connect you with our customer care team? https://t.co/nIi0t6hUyP,0
102,84,40349928,2022-10-10 21:37:51+00:00,['1579587035731402753'],1579587035731402753,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@sophieannejack Oh no! Thanks for letting us know, Soph. We’d like to connect you with our customer care team. Please DM us! https://t.co/nIi0t6yXAP",0
103,85,40349928,2022-10-10 21:15:13+00:00,['1579581339690741760'],1579581339690741760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MerrittJones3 Oh no! Sorry we kept you waiting. We’d like to connect with you someone from our customer care team. Please DM us! https://t.co/nIi0t6hUyP,0
104,86,40349928,2022-10-10 20:02:25+00:00,['1579563019352576000'],1579563019352576000,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@w1neinbathtub Hi Jillian! Send us a DM with some details about your experience? https://t.co/nIi0t6hUyP,1
105,87,40349928,2022-10-10 19:49:35+00:00,['1579559792234094592'],1579559792234094592,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@SneakyFenix Hi! Feel free to submit a ticket to our team via the Support section in the SONIC app or online. They're available 24/7. Thank you!,0
106,88,40349928,2022-10-10 19:47:02+00:00,['1579559146851999744'],1579559146851999744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sunseedssiriusb Hi! You're always welcome to contact the drive-in you visited directly and share your feedback. Sorry to hear we disappointed you!,0
107,0,40349928,2022-10-20 22:22:18+00:00,['1583222101351092225'],1583222101351092225,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@2A_AndyD Oh no! We encourage you to contact the drive-in you visited directly about this. Thanks!,0
108,1,40349928,2022-10-20 19:05:23+00:00,['1583172547155472384'],1583172547155472384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@_beanie_weenie Hi Glenna! Please follow this link to find information about SONIC franchising: https://t.co/lS31tLR37D. We hope this helps!,0
109,2,40349928,2022-10-20 17:57:39+00:00,['1583155500216365056'],1583155500216365056,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@kaysssie Hi, we'd like to investigate this and put you in contact with our customer care team. Please send us a DM. https://t.co/nIi0t6hUyP",0
110,3,40349928,2022-10-20 16:45:19+00:00,['1583137295011807234'],1583137295011807234,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MrsPretzel8 If you're having issues with a specific location we'd love to help. Feel free to send us a DM. https://t.co/nIi0t6hUyP,0
111,4,40349928,2022-10-20 15:09:39+00:00,['1583113219861712898'],1583113219861712898,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@JZS9919 This is totally unacceptable, please DM us. https://t.co/nIi0t6yXAP",0
112,5,40349928,2022-10-20 14:38:18+00:00,['1583105330002931714'],1583105330002931714,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@MisutaaAsriel We hate disappointing you, Asriel! We'll let our product development team know there's interest in bringing it back.",0
113,6,40349928,2022-10-20 14:24:39+00:00,['1583101897094795265'],1583101897094795265,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@dtxrob1 Oh no! Sorry about that. Send us a DM? https://t.co/nIi0t6yXAP,0
114,7,40349928,2022-10-20 14:23:57+00:00,['1583101722519822336'],1583101722519822336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@fckntejacobs That is unacceptable and we apologize. Please send us a DM so we can put you in contact with our customer care team. https://t.co/nIi0t6hUyP,0
115,8,40349928,2022-10-20 14:23:26+00:00,['1583101591787253760'],1583101591787253760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@KevinConstant5 If you're having issues with a specific SONIC location we'd be happy to help, Kevin! Feel free to send us a DM. https://t.co/nIi0t6yXAP",0
116,9,40349928,2022-10-20 14:22:41+00:00,['1583101403865968641'],1583101403865968641,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@waterwbottle We hate to disappoint you, Jojo! Sometimes we have to retire menu items to make way for the new products our innovators are creating, but it doesn't mean it has to be gone forever. We'll let them know there's interest in bringing them back!",0
117,10,40349928,2022-10-20 14:22:05+00:00,['1583101250400555008'],1583101250400555008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@devilsbabymama We hate disappointing you! This was a limited-time menu item. We'll let our product development team know there's interest in bringing them to the permanent menu!,0
118,11,40349928,2022-10-20 14:21:27+00:00,['1583101090786324482'],1583101090786324482,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@FonoPrime Oh no! Sorry we kept you waiting, Joshua. We’d like to connect you with someone from our customer care team. Please DM us! https://t.co/nIi0t6hUyP",0
119,12,40349928,2022-10-20 14:20:54+00:00,['1583100951660929026'],1583100951660929026,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@INDlVlDUALIST We’re so sorry to hear this! If you have any issues getting in contact with the store directly or speaking with a manager on duty, feel free to send us a DM and we’ll get you connected with our customer care team. https://t.co/nIi0t6yXAP",0
