,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,likecount
1086,992,18956020,2022-10-19 17:29:48+00:00,['1582786105543299073'],1582786105543299073,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@PammysParcels AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1087,993,18956020,2022-10-19 17:28:03+00:00,['1582785665229471744'],1582785665229471744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@urbanchamp AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",1
1088,994,18956020,2022-10-19 17:27:51+00:00,['1582785613811822595'],1582785613811822595,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@_adrianjayy AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1089,995,18956020,2022-10-19 17:26:53+00:00,['1582785369333854208'],1582785369333854208,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@noahmcgilll AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1090,996,18956020,2022-10-19 17:26:26+00:00,['1582785257480126464'],1582785257480126464,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@apocalyptichav1 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1091,997,18956020,2022-10-19 17:26:05+00:00,['1582785168284471297'],1582785168284471297,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@rsipes68 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1092,998,18956020,2022-10-19 17:25:08+00:00,['1582784930962374657'],1582784930962374657,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@stretchy_tailed AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1093,999,18956020,2022-10-19 17:24:25+00:00,['1582784750623682560'],1582784750623682560,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@starsprojectors AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1094,1000,18956020,2022-10-19 17:22:46+00:00,['1582784332930125824'],1582784332930125824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@SuzanneSimnick AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",1
1095,1001,18956020,2022-10-19 17:21:46+00:00,['1582784081535721472'],1582784081535721472,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@One2dream01 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1096,1002,18956020,2022-10-19 17:21:33+00:00,['1582784029489008640'],1582784029489008640,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@rblxadoptz4ever AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1097,1003,18956020,2022-10-19 17:21:29+00:00,['1582784009364348930'],1582784009364348930,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@MatildaLC97 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1098,1004,18956020,2022-10-19 17:19:19+00:00,['1582783463538982912'],1582783463538982912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@The_HoodGoblin AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1099,1005,18956020,2022-10-19 17:18:22+00:00,['1582783224845307904'],1582783224845307904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@achmedicus AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",1
