ID,screen_name,name,location,follower_count,friends_count,like_count,description
17853330,tetragram,tetragram 🇺🇸✝️🤦🏻‍♂️,"Bardstown, KY",9673,10424,,Loving God with all my heart. I am a follower of #Jesus Christ. Living with #CVID #MAGA 🇺🇸🇺🇸🇺🇸 #2A Elections have consequences 😎
909876403327373312,MrGMiller25,RA Like 🌞,Deep In Thought With GOD,260,3738,,$MrGMiller25 Pisces ♓ Currently Thinking about how I'm going to save the World 🧐🤔😏😁
127092110,SportzDoc,SportzDoc,,559,263,,Orthopedic Surgeon; Gym Rat; World Explorer; Cheesehead
870422721909342208,BasedDub,America First,"San Diego, CA",491,1210,,The New Right ULTRA-Nuclear MAGA Truth = @BasedDub #ECV #Squibob 👌🏼👍🏼🇺🇸 (~};}
360044996,ucmytv,David Bennallack 🇹🇼🇺🇦,,69,429,,"Married, with Shepherd (in our hearts). @Cronkite_ASU Alum. Browns, Suns, Sun Devils. Ep. 4:29-32"
872876115924209664,BeerRiffs,Beer Riffs,,52,584,,Musician/Producer & Brewer/Craft Beer enthusiast 🍻🤘🏼
1425556129812156418,onetimeisnow,🌹Blue No Matter Who 🌊he/him,,412,2610,,The worst two things in life are having a job and not having a job.
1170926601225162752,Nampoleon3,The Nam Nguyen,"Bay Area, CA ",63,307,,"Audacious self who appreciates Churchill, Napoleon and Lincoln 👌 || Liberating Saigon on 9/29/39 🐘"
2588266188,WestonJTaylor,W Taylor,"Sky Valley, Washington",114,701,,"USMC Ret. OIF 5-7. B/S Environmental Science/Biology. Politically homeless. Deletes most potential tweets, as not seeking dog piles by twitt-iots."
382098389,ArthurKislitsa,Arthur Kis,,137,186,,A digital currency where a record of transactions is maintained and new units of currency are generated by the computational solution of mathematical problems.
312799242,MichelleGoeden,Shells in the OC🇺🇸,,135,895,,Pronouns are Dez Caught it/His knee was down ✌🏻. Rule #1 Don’t get dead ☠️
997353150251233280,TPage6125,Tom Page,"Eagle, ID",460,1885,,I am a sinner just like you. Saved by grace. Ephesians 2:8
1413066247,magafoxyroxy,Roxanne,Texas baby ❤️,4848,5161,,TX Patriot mama of girls. Imperfect Christian. Awake. Stop letting them divide us. No💉Abolish 3 letter govt agencies. Trump WON. Pro Life. LETS GO BRANDON 🇺🇸
1274876883981578240,Ajhdfs1,FormerOregonian,God's Country,227,1658,,"Yes, I am an anti-vaxxer. Also against other poisons. Voted with my feet and left Oregon for Oklahoma. Co-host of the Revelations Radio News Podcast."
18399354,katsha,Kattywompus,Central Missouri,428,3546,,"A sq peg in th rd hole of life- illustrator, graphic designer, loves kids,animals,country, LowCarb KETO crazy, apologetics. ...used to love politics!"
794575915594481664,wickedwalks,T®️🅰️©️✌🏽🪶,,900,4988,,All the secrets of the world worth knowing are hidden in plain site. 💻📲🌐👁‍🗨 Block party 🪶 #followthemoney 🗣
